time,upstream_canal_water_level,upstream_canal_outflow,control_gate_opening,control_gate_outflow,downstream_canal_water_level,downstream_canal_outflow,terminal_reservoir_water_level,terminal_reservoir_volume
0.0,3.0,0.0,0.5,2.6576681508420124,3.4496371731865523,0.24160619553109203,10.000144963717318,1000014.4963717319
60.0,3.0,0.0,0.5,0.0,3.3178519756241385,0.2196419959373564,10.00027674891488,1000027.674891488
120.0,3.0,0.0,0.5,0.0,3.1980472505673987,0.19967454176123306,10.000396553639938,1000039.6553639937
180.0,3.0,0.0,0.5,0.0,3.0891338641521804,0.18152231069203006,10.000505467026352,1000050.5467026352
240.0,3.0,0.0,0.5,0.0,2.9901216946838005,0.16502028244730008,10.000604479195822,1000060.4479195821
300.0,3.0,0.0,0.5,0.26414474461813586,3.0441895831406196,0.17403159719010336,10.000708898154135,1000070.8898154135
360.0,3.0,0.0,0.5,0.0,2.9492632574005633,0.15821054290009395,10.000803824479876,1000080.3824479876
420.0,3.0,0.0,0.5,0.5986349140572587,3.1894947325771983,0.19824912209619983,10.000922773953134,1000092.2773953134
480.0,3.0,0.0,0.5,0.0,3.0813588477974534,0.18022647463290895,10.001030909837914,1000103.0909837914
540.0,3.0,0.0,0.5,0.0,2.983053497997685,0.16384224966628086,10.001129215187714,1000112.9215187713
600.0,3.0,0.0,0.8,0.5535549876330685,3.195624082343205,0.1992706803905343,10.001248777595947,1000124.8777595947
660.0,3.0,0.0,0.8,0.0,3.0869309839483687,0.18115516399139484,10.001357470694341,1000135.7470694341
720.0,3.0,0.0,0.8,0.0,2.9881190763166985,0.16468651271944984,10.001456282601973,1000145.6282601974
780.0,3.0,0.0,0.8,0.46349583688457424,3.1511059804067663,0.19185099673446115,10.001571393200015,1000157.1393200015
840.0,3.0,0.0,0.8,0.0,3.046459982187969,0.1744099970313283,10.001676039198234,1000167.6039198233
900.0,3.0,0.0,0.8,0.0,2.9513272565345177,0.158554542755753,10.001771171923886,1000177.1171923886
960.0,3.0,0.0,0.8,0.9381313465673188,3.3765509677044627,0.22942516128407714,10.001908827020657,1000190.8827020656
1020.0,3.0,0.0,0.8,0.0,3.251409970640421,0.20856832844007012,10.00203396801772,1000203.3968017721
1080.0,3.0,0.0,0.8,0.0,3.1376454278549284,0.18960757130915465,10.002147732560507,1000214.7732560507
1140.0,3.0,0.0,0.8,0.0,3.034223116231753,0.17237051937195877,10.00225115487213,1000225.115487213
1200.0,3.0,0.0,0.3,0.0,2.9402028329379575,0.15670047215632615,10.002345175155424,1000234.5175155425
1260.0,3.0,0.0,0.3,0.3899350793931507,3.0674217096125886,0.17790361826876472,10.002451917326386,1000245.1917326386
1320.0,3.0,0.0,0.3,0.0,2.970383372375081,0.16173056206251338,10.002548955663624,1000254.8955663624
1380.0,3.0,0.0,0.3,0.2744225557903688,3.0318517325902747,0.1719752887650457,10.002652140836883,1000265.2140836883
1440.0,3.0,0.0,0.3,0.0,2.9380470296275223,0.156341171604587,10.002745945539846,1000274.5945539846
1500.0,3.0,0.0,0.3,0.3969018006013055,3.069261918171187,0.17821031969519777,10.002852871731664,1000285.2871731663
1560.0,3.0,0.0,0.3,0.0,2.9720562892465336,0.16200938154108888,10.002950077360587,1000295.0077360588
1620.0,3.0,0.0,0.3,0.2665594237797608,3.0290835850130815,0.1715139308355136,10.003052985719089,1000305.298571909
1680.0,3.0,0.0,0.3,0.0,2.935530531830074,0.15592175530501237,10.003146538772272,1000314.6538772272
1740.0,3.0,0.0,0.3,0.4048825374451401,3.071327322088326,0.17855455368138762,10.003253671504481,1000325.3671504481
