时间(s),时间(h),渠道1总入流(m³/s),渠道1记录的入流(m³/s),上游水库出流(m³/s),默认入流值(m³/s),物理入流(m³/s),数据入流(m³/s),话题入流(m³/s),入流差异(m³/s),上游水库水位(m),上游水库库容(m³),渠道1水位(m),渠道1库容(m³),渠道1出流(m³/s),计算逻辑备注
0.0,0.0000,25.000000,25.000000,0.000000,0.000000,25.000000,0.000000,0.000000,25.000000,62.820,392.6,61.900,800000.0,25.000000,时滞缓存长度:2; 模型类型:integral_delay; 订阅话题数:2; 入流异常:期望0.000实际25.000
0.0,0.0000,25.000000,25.000000,25.000000,0.000000,25.000000,0.000000,0.000000,0.000000,62.820,392.6,61.900,800000.0,25.000000,时滞缓存长度:2; 模型类型:integral_delay; 订阅话题数:2
900.0,0.2500,25.000000,25.000000,25.000000,0.000000,25.000000,0.000000,0.000000,0.000000,62.820,392.6,61.900,800000.0,25.000000,时滞缓存长度:2; 模型类型:integral_delay; 订阅话题数:2
1800.0,0.5000,25.000000,25.000000,25.000000,0.000000,25.000000,0.000000,0.000000,0.000000,62.820,392.6,61.900,800000.0,25.000000,时滞缓存长度:2; 模型类型:integral_delay; 订阅话题数:2
2700.0,0.7500,25.000000,25.000000,25.000000,0.000000,25.000000,0.000000,0.000000,0.000000,62.820,392.6,61.900,800000.0,25.000000,时滞缓存长度:2; 模型类型:integral_delay; 订阅话题数:2
3600.0,1.0000,25.000000,25.000000,25.000000,0.000000,25.000000,0.000000,0.000000,0.000000,62.820,392.6,61.900,800000.0,25.000000,时滞缓存长度:2; 模型类型:integral_delay; 订阅话题数:2
4500.0,1.2500,25.000000,25.000000,25.000000,0.000000,25.000000,0.000000,0.000000,0.000000,62.820,392.6,61.900,800000.0,25.000000,时滞缓存长度:2; 模型类型:integral_delay; 订阅话题数:2
5400.0,1.5000,25.000000,25.000000,25.000000,0.000000,25.000000,0.000000,0.000000,0.000000,62.820,392.6,61.900,800000.0,25.000000,时滞缓存长度:2; 模型类型:integral_delay; 订阅话题数:2
6300.0,1.7500,25.000000,25.000000,25.000000,0.000000,25.000000,0.000000,0.000000,0.000000,62.820,392.6,61.900,800000.0,25.000000,时滞缓存长度:2; 模型类型:integral_delay; 订阅话题数:2
