time,value
0.0,12.0
0.0,13.07408717122645
1.0,14.1481743424529
2.0,15.22226151367935
3.0,16.2963486849058
4.0,17.37043585613225
5.0,18.4445230273587
6.0,19.51861019858515
7.0,20.592697369811603
8.0,21.666784541038055
9.0,22.740871712264507
10.0,23.81495888349096
11.0,24.88904605471741
12.0,25.963133225943864
13.0,27.037220397170316
14.0,28.11130756839677
15.0,29.185394739623224
16.0,30.259481910849676
17.0,31.333569082076128
18.0,32.40765625330258
19.0,33.48174342452903
20.0,34.55583059575548
21.0,35.62991776698193
22.0,36.704004938208385
23.0,37.77809210943484
24.0,38.85217928066129
25.0,39.92626645188774
26.0,41.000353623114194
27.0,42.074440794340646
28.0,43.1485279655671
29.0,44.22261513679355
30.0,45.29670230802
31.0,46.370789479246454
32.0,47.44487665047291
33.0,48.51896382169936
34.0,49.59305099292582
35.0,50.66713816415226
36.0,51.74122533537872
37.0,52.81531250660517
38.0,53.889399677831626
39.0,54.96348684905807
40.0,56.03757402028453
41.0,57.111661191510976
42.0,58.185748362737435
43.0,59.25983553396388
44.0,60.33392270519034
45.0,61.408009876416784
46.0,62.482097047643244
47.0,63.55618421886969
48.0,64.63027139009614
49.0,65.70435856132259
50.0,66.77844573254905
51.0,67.8525329037755
52.0,68.92662007500195
53.0,70.0007072462284
54.0,71.07479441745485
55.0,72.1488815886813
56.0,73.22296875990774
57.0,74.2970559311342
58.0,75.37114310236063
59.0,76.44523027358709
60.0,78.35265077814685
61.0,80.26007128270663
62.0,82.16749178726641
63.0,84.0749122918262
64.0,85.98233279638596
65.0,87.88975330094574
66.0,89.79717380550552
67.0,91.7045943100653
68.0,93.61201481462508
69.0,95.51943531918485
70.0,97.42685582374463
71.0,99.33427632830441
72.0,101.24169683286419
73.0,103.14911733742396
74.0,105.05653784198374
75.0,106.96395834654352
76.0,108.8713788511033
77.0,110.77879935566307
78.0,112.68621986022285
79.0,114.59364036478263
80.0,116.50106086934241
81.0,118.40848137390219
82.0,120.31590187846196
83.0,122.22332238302174
84.0,124.13074288758152
85.0,126.0381633921413
86.0,127.94558389670107
87.0,129.85300440126085
88.0,131.76042490582063
89.0,133.6678454103804
90.0,135.5752659149402
91.0,137.48268641949994
92.0,139.39010692405975
93.0,141.2975274286195
94.0,143.20494793317928
95.0,145.11236843773906
96.0,147.01978894229885
97.0,148.92720944685863
98.0,150.8346299514184
