time,upstream_reservoir.water_level,upstream_reservoir.outflow,upstream_reservoir.volume,gate_1.opening,gate_1.outflow,canal_1.volume,canal_1.water_level,canal_1.outflow,downstream_reservoir.water_level,downstream_reservoir.outflow,downstream_reservoir.volume,scenario
0.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,0.0,0.0,0.0,integral
1.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,5e-07,0.0,0.5,integral
2.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,9.9995e-07,0.0,0.99995,integral
3.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,1.4998500049999998e-06,0.0,1.4998500049999999,integral
4.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,1.9997000199995e-06,0.0,1.9997000199994999,integral
5.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,2.4995000499975e-06,0.0,2.4995000499974998,integral
6.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,2.9992500999925e-06,0.0,2.9992500999925,integral
7.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,3.498950174982501e-06,0.0,3.4989501749825007,integral
8.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,3.998600279965003e-06,0.0,3.9986002799650024,integral
9.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,4.498200419937006e-06,0.0,4.498200419937006,integral
10.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,4.997750599895012e-06,0.0,4.997750599895012,integral
11.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,5.497250824835023e-06,0.0,5.497250824835023,integral
12.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,5.996701099752539e-06,0.0,5.996701099752539,integral
13.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,6.496101429642565e-06,0.0,6.4961014296425645,integral
14.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,6.9954518194995995e-06,0.0,6.9954518194996,integral
15.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,7.494752274317649e-06,0.0,7.49475227431765,integral
16.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,7.994002799090219e-06,0.0,7.994002799090218,integral
17.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,8.493203398810308e-06,0.0,8.493203398810309,integral
18.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,8.992354078470428e-06,0.0,8.992354078470427,integral
19.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,9.49145484306258e-06,0.0,9.49145484306258,integral
20.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,9.990505697578275e-06,0.0,9.990505697578275,integral
21.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,1.0489506647008517e-05,0.0,10.489506647008517,integral
22.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,1.0988457696343815e-05,0.0,10.988457696343815,integral
23.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,1.148735885057418e-05,0.0,11.48735885057418,integral
24.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,1.1986210114689121e-05,0.0,11.986210114689122,integral
25.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,1.2485011493677654e-05,0.0,12.485011493677654,integral
26.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,1.2983762992528287e-05,0.0,12.983762992528286,integral
27.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,1.3482464616229032e-05,0.0,13.482464616229032,integral
28.0,0.0,0.0,0.0,0.5,0,4950.246693456854,0.4950246693456854,0.49507417676336174,1.398111636976741e-05,0.0,13.98111636976741,integral
