time,upstream_reservoir_water_level,upstream_reservoir_outflow,upstream_reservoir_volume,upstream_reservoir_inflow,gate_1_opening,gate_1_outflow,canal_1_water_level,canal_1_outflow,canal_2_water_level,canal_2_outflow,gate_2_opening,gate_2_outflow,canal_3_water_level,canal_3_outflow
0,10.0,19.809088823063014,0,0.0,0.5,19.809088823063014,5.19809088823063,19.809088823063014,4.69809088823063,19.809088823063014,0.5,7.401768228493773,4.0592141458279505,7.401768228493773
10,10.0,19.412723330116776,0,0.0,0.5,19.412723330116776,5.39618177646126,19.809088823063014,4.89618177646126,19.809088823063014,0.5,8.104641858348963,4.118428291655901,7.401768228493773
20,10.0,19.008094438510145,0,0.0,0.5,19.008094438510145,5.59427266469189,19.809088823063014,5.09427266469189,19.809088823063014,0.5,8.75124370566061,4.1776424374838514,7.401768228493773
30,10.0,18.59466270936315,0,0.0,0.5,18.59466270936315,5.79236355292252,19.809088823063014,5.29236355292252,19.809088823063014,0.5,9.353251474200121,4.236856583311802,7.401768228493773
40,10.0,18.171827326018718,0,0.0,0.5,18.171827326018718,5.99045444115315,19.809088823063014,5.49045444115315,19.809088823063014,0.5,9.918788226562205,4.296070729139752,7.401768228493773
50,10.0,17.738915847883735,0,0.0,0.5,17.738915847883735,6.18854532938378,19.809088823063014,5.68854532938378,19.809088823063014,0.5,10.45377475494624,4.355284874967703,7.401768228493773
60,10.0,17.29517165424966,0,0.0,0.5,17.29517165424966,6.38663621761441,19.809088823063014,5.88663621761441,19.809088823063014,0.5,10.962684587769257,4.414499020795653,7.401768228493773
70,10.0,16.839738407755064,0,0.0,0.5,16.839738407755064,6.58472710584504,19.809088823063014,6.08472710584504,19.809088823063014,0.5,11.448995594141692,4.473713166623604,7.401768228493773
80,10.0,16.371640624362644,0,0.0,0.5,16.371640624362644,6.78281799407567,19.809088823063014,6.28281799407567,19.809088823063014,0.5,11.915475099988175,4.532927312451554,7.401768228493773
90,10.0,15.889759086434928,0,0.0,0.5,15.889759086434928,6.9809088823063,19.809088823063014,6.4809088823063,19.809088823063014,0.5,12.364367901441645,4.592141458279505,7.401768228493773
100,10.0,15.39279932035111,0,0.0,0.5,15.39279932035111,7.17899977053693,19.809088823063014,6.67899977053693,19.809088823063014,0.5,12.797524774188279,4.651355604107455,7.401768228493773
110,10.0,14.879250586244648,0,0.0,0.5,14.879250586244648,7.37709065876756,19.809088823063014,6.87709065876756,19.809088823063014,0.5,13.216492995107478,4.710569749935406,7.401768228493773
120,10.0,14.347331636925448,0,0.0,0.5,14.347331636925448,7.5751815469981905,19.809088823063014,7.0751815469981905,19.809088823063014,0.5,13.622581760939713,4.769783895763356,7.401768228493773
130,10.0,13.794917621775856,0,0.0,0.5,13.794917621775856,7.7732724352288205,19.809088823063014,7.2732724352288205,19.809088823063014,0.5,14.016910521839312,4.828998041591307,7.401768228493773
140,10.0,13.219439446634723,0,0.0,0.5,13.219439446634723,7.9713633234594505,19.809088823063014,7.4713633234594505,19.809088823063014,0.5,14.400445386202884,4.888212187419257,7.401768228493773
150,10.0,12.617741730393055,0,0.0,0.5,12.617741730393055,8.16945421169008,19.809088823063014,7.669454211690081,19.809088823063014,0.5,14.774027009071503,4.947426333247208,7.401768228493773
160,10.0,11.985876416289402,0,0.0,0.5,11.985876416289402,8.367545099920711,19.809088823063014,7.867545099920711,19.809088823063014,0.5,15.138392279516887,5.006640479075158,7.401768228493773
170,10.0,11.318792363066944,0,0.0,0.5,11.318792363066944,8.565635988151342,19.809088823063014,8.06563598815134,19.809088823063014,0.5,15.494191413310306,5.065854624903109,7.401768228493773
180,10.0,10.609848615785367,0,0.0,0.5,10.609848615785367,8.763726876381973,19.809088823063014,8.263726876381972,19.809088823063014,0.5,15.842001587427681,5.125068770731059,7.401768228493773
190,10.0,9.850010900579894,0,0.0,0.5,9.850010900579894,8.961817764612604,19.809088823063014,8.461817764612602,19.809088823063014,0.5,16.182337934916067,5.18428291655901,7.401768228493773
200,10.0,9.026435721435279,0,0.0,0.5,9.026435721435279,9.159908652843235,19.809088823063014,8.659908652843233,19.809088823063014,0.5,16.515662499082072,5.24349706238696,7.401768228493773
